,text,user
56,"RT @ZPoet: @realDonaldTrump BIDEN is only raising taxes on Americans who make more than $400,000 a year, Donny. Even my richest friends don…",hawkaye19
57,"RT @skye_gary: @realDonaldTrump Your comments are idiotic, Donald. Yes, Fauci and the CDC said don’t wear a mask, unless you yourself is in…",lizard817
58,@realDonaldTrump This is literally a blatant lie. How are you the president?,whyaretheytake
59,@realDonaldTrump VOTE for Hunters DAD!,BryanEugene5
60,@realDonaldTrump Actually mine aren’t affected so stop making stuff up,jaimiestarr7
61,@realDonaldTrump Go fukc yourself. I can’t wait to NOT vote for you,bluerag185
62,@realDonaldTrump PRESIDENT TRUMP YOU ARE AWESOME ❤️🇺🇸😍🇺🇸,PREETIMATHUR18
63,@realDonaldTrump https://t.co/H1QayRffqX,male_taurean
64,"@realDonaldTrump @BreitbartNews you have wanted to cut payroll taxes, guess what, that funds Social Security.  So y… https://t.co/x1UUbMJi5O",impatientmiss
65,RT @ProjectLincoln: @realDonaldTrump You’re in bed with China.,PorscheDia
66,@realDonaldTrump Remember this? https://t.co/sjpoaRsmEd,brado_77
67,@realDonaldTrump Perfect for Donnie. https://t.co/rxcFNZQRUf,bob58876057
68,@realDonaldTrump To me I see this as no incentive to make more money just to lose it to taxes,Mellonieanne
69,@realDonaldTrump 60 minutes probably called trump on trump lies.,DrewVanosdale
70,"RT @itsJeffTiedrich: @realDonaldTrump fact check: yeah, no. this is a clumsy lie. abolishing the 2nd Amendment would require adding a new a…",gates71
71,"@realDonaldTrump He says no, but It isn't clear. If he repeals the Trump tax cuts, it will have the same effect as raising our taxes.",JeanDiane03
72,@realDonaldTrump https://t.co/NKDRTRwhJz,patty_hawthorne
73,"RT @itsJeffTiedrich: @realDonaldTrump fact check: yeah, no. this is a clumsy lie. abolishing the 2nd Amendment would require adding a new a…",PugsterThePug
74,@realDonaldTrump @BreitbartNews LOSER!,GWSArch
75,@realDonaldTrump The left is about as legitimate  as adam Schiff. I'll bet he doesnt debate trump again cause his p… https://t.co/xAFZId8Q5Z,FreedomFarmer2
76,@realDonaldTrump Cali knows better. We see right through an immoral daddy-missing narcissist!,JohnLon05710466
77,@realDonaldTrump How's that bank account of yours in China that the media have found out about? guess it slipped your mind,RudeATude
78,@realDonaldTrump You asked questions like “Why are you the best and can I kiss your ass again?” Stahl probably aske… https://t.co/LrhdEJL6cx,pigsinflight2
79,@realDonaldTrump Higher than $750 ? DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA DNA,NancyCalden
80,@realDonaldTrump @BreitbartNews Diaper Don uses Hunter Biden to distract from his and Ivanka's dealings with China. Like a broken record.,TheRealJimDent
81,@realDonaldTrump Another lie,Lover24Lakers
82,@realDonaldTrump LIE!,cebryce
83,"RT @Infantry0300: @realDonaldTrump Remember, TRUMP is afraid of Lesley Stahl. 🐔 #ChickenTrump",FPitador
84,"@realDonaldTrump Very cheap campaign indeed, no vision, no plan, no leadership, where is the real Republican candidate?",LuckyintheSky6
85,RT @TheDailyEdge: @realDonaldTrump Resign. https://t.co/OaKQ3ScZQ0,nflgossipgirl
86,"@realDonaldTrump Mr President,for 20 years i had submitted in dv lottery,and for 20 years i didn't won or accepted… https://t.co/zA6ItgQoiM",Basem_Aram
87,@realDonaldTrump Will this affect your Chinese bank account?,gatekeeperguy
88,@realDonaldTrump https://t.co/YOiO70KB8b https://t.co/fCL3Z4Vk4O,everycolorinc
89,@realDonaldTrump @POTUS @foxandfriends https://t.co/IPHJsjhlkQ,vanga_mr
90,@realDonaldTrump @BreitbartNews https://t.co/qHBE0iBjP9,Jacquiklein
91,@realDonaldTrump #EndPoliceBrutalityinNigeraNOW #BuhariResignNow #LekkitollgateMassacre #EndPoliceBrutalityinNigeraNOW,MichealPlanet
92,@realDonaldTrump #BidenHarris2020 https://t.co/EXfVZ9FDJ4,ShowYiyo
93,"@realDonaldTrump Says the CORRUPT &amp; COMPRISED POS who paid CHINA 118,000 in taxes, and ONLY PAID THE UNITED STATES 750.00 in taxes!",WedPlannerSteve
94,@realDonaldTrump @BreitbartNews Trump keeps attacking Hunter Biden as his own kids are accused of corruption. https://t.co/dOIH88CCUu,William08111376
95,@realDonaldTrump More Russian fake news! Or does Trumpy owe the Chinese first? https://t.co/Bt3oMhC8dI,DonaldtrumpsC
96,RT @TassajaraRd: @realDonaldTrump No. @JoeBiden isn’t going to raise your taxes unless you make more than $400k a year. Next ?,wilgmil11
97,@realDonaldTrump He who denies liberty by mandating false cures &amp; cryptic remedies; Behold! Ye who believeth in dec… https://t.co/kfcaehVrwB,DEMONDISM
98,@realDonaldTrump https://t.co/qn6hsCR4Jr,RAlbersheim
99,@realDonaldTrump Remember Trump defunded EVERYTHING in order to give tax breaks to the richest. 01% of people Ask y… https://t.co/Os0cFHF7qM,denisepets
100,@realDonaldTrump https://t.co/T7CKadl6PN,agitated_guy42
101,@realDonaldTrump Our economy is not rapidly coming back! More &amp; more people are getting sick &amp; dying yet all Trump… https://t.co/C19MfaxCL5,Tea59844852
102,"RT @itsJeffTiedrich: @realDonaldTrump fact check: raise your hand if you make less than $400,000.00 a year. congratulations, Joe Biden is n…",rocca_mt
103,@realDonaldTrump Rich coming from the guy with a hidden Chinese bank account which had $25 million deposited in dur… https://t.co/74zqQ4tKI3,CalamityCman
104,RT @itsJeffTiedrich: @realDonaldTrump and then what happened? the ballots in question were checked against voter rolls and invalidated. tha…,MogrenDixon
105,@realDonaldTrump Cheating on Faux &amp; Friends this morning?,TonyPelch
106,@realDonaldTrump The economy isn’t coming back until you get COVID under control. Got a plan yet?,BrianNormoyle
107,@realDonaldTrump https://t.co/cx8LyUnbVR,palynla
108,"RT @itsJeffTiedrich: @realDonaldTrump fact check: raise your hand if you make less than $400,000.00 a year. congratulations, Joe Biden is n…",N8HeardWords
109,@realDonaldTrump vote 🗳 for trump,LeoGara81290439
110,"@realDonaldTrump Nope, I don’t make over $400,000. Speaking of taxes #TrumpChinaBankAccount #750DollarDon  Ur fundi… https://t.co/RHCmP05OxM",lorisstuff123
111,"@realDonaldTrump It’s Ok, Don. You can just dip into your hefty bank account in China. You know, the country where… https://t.co/NBDnL345K2",dilodilo
112,@realDonaldTrump Make a only fans,Aditya49660412
113,@realDonaldTrump #RELEASETHESIXTYMINUTESINTERVIEW,DrGlobalWarming
114,@realDonaldTrump Trump 2020! 🇺🇸,Lokitojm
115,@realDonaldTrump https://t.co/hMlbbiDAci,BillyP90078348
116,RT @itsJeffTiedrich: @realDonaldTrump @BreitbartNews grifter with a secret Chinese bank account says what,HENRY30126252
117,@realDonaldTrump @BreitbartNews Like getting rid of preexisting conditions which you are doing there is rolls of vi… https://t.co/vL14Em4AVZ,embree_susan
118,RT @ABidenPatriot: @realDonaldTrump https://t.co/zBBySa7E3l,OrensteinAmy
119,@realDonaldTrump Only for the rich ☺️,katlovespeace
120,RT @2_langdon: @realDonaldTrump @BreitbartNews Secret Chinese Bank Account.  What's that about? I want to talk about that.,Osekita
121,@realDonaldTrump Stop lying!!  He's not raising everyone's taxes.  Stop lying!  You want to know why you're going t… https://t.co/Rhclxwh6bj,barkingfox
122,RT @itsJeffTiedrich: @realDonaldTrump @BreitbartNews grifter with a secret Chinese bank account says what,RoseMa08
123,@realDonaldTrump Trump doesn't want Biden to be president.  He will have to finally pay his fair share of taxes.  T… https://t.co/dsC1k6wq07,Edr351
124,"@realDonaldTrump ""Jared! What can we use to scare the rubes in... where, again?"" ""Virginia, sir."" ""Really? That bun… https://t.co/1hqyuEfOWY",AveryFarman
125,@realDonaldTrump Fact:  Vaccines and treatments will come during the Biden Administration. Control of the pandemic… https://t.co/hm5zJ4F0pw,fusepark
126,@realDonaldTrump @BreitbartNews https://t.co/pK4impCQDF,alliegata
127,"RT @CurtisHouck: @realDonaldTrump Lesley Stahl interviewed Nancy Pelosi last year and called her a ""powerful,"" ""giant slayer,"" and ""patron…",Janaa_Vet
128,"RT @Kenny_Sowellfan: @realDonaldTrump ""You can mute the mic of the president of the United States, but you cannot silence the voice of the…",NieveCecilia
129,@realDonaldTrump Sounds like you know you are not going to win so lets scare everybody with your FAKE LIES AND NEWS… https://t.co/Y1ftCSjTRo,tktwasad
130,@realDonaldTrump #LyingTrump's baseless attacks show his desperation! #TraitorTrump's tax cutfor riches and cutting… https://t.co/3oPjR9Cucg,MM77392262
131,"RT @AynRandPaulRyan: @realDonaldTrump If you make more than $400,000, Biden will raise your taxes to pay to fix the shit you broke.  If you…",andbeemn
132,RT @ChuyPitbull: @realDonaldTrump @BreitbartNews #TrumpChinaBankAccount https://t.co/lAHOV0FXg8,JMDelga82664720
133,@realDonaldTrump Can you share your data that shows the economy coming back rapidly please. Otherwise it is just an… https://t.co/zbL1MuHXxM,The_ExpertCoder
134,@realDonaldTrump Smarter and better looking.  Doesn't have to pay porn stars either... https://t.co/GRUil3YadZ,cosmicmichelle
135,@realDonaldTrump @ChuckCallesto https://t.co/7ZJjWFsDCV,koalifiedgrace
136,@realDonaldTrump Liar.,Smallfindings
137,@realDonaldTrump Constant lies and misleading statements.,jbergASU
138,@realDonaldTrump Lies,Veda12
139,@realDonaldTrump can you say bababooey again pls,Caledfwlch4
140,@realDonaldTrump Well you don’t pay taxes so it’s not a problem for you right?  #VoteHimOut  #VoteBlueToEndThisNightmare,PatFlanaganDes
141,RT @itsJeffTiedrich: @realDonaldTrump and then what happened? the ballots in question were checked against voter rolls and invalidated. tha…,1024CP
142,@realDonaldTrump Trumps going to RAISE YOUR TAXES!!!!!Everything he accuses Biden of he’s actually doing!,namastemichelle
143,@realDonaldTrump is a security threat. Financial ties to China and who knows where else.  Vote him OUT.… https://t.co/zgUyXleIQZ,BKDamon
144,"RT @mmpadellan: @realDonaldTrump @BreitbartNews Hey moronicus, I hate to interrupt your projection, but the payroll tax stunt you announced…",chefrocky413
145,"@realDonaldTrump Blah, blah, blah...   your lips are moving so you must be lying..  blah, blah, blah!",TonyJMason1
